experiment_id,date,family,hypothesis,pair,session,timeframe,params_json,dataset_start,dataset_end,is_trades,is_wr,is_pf,is_dd,is_prof_months,oos_trades,oos_wr,oos_pf,oos_pnl,oos_dd,wf_folds,wf_consistency_pct,mc_risk_of_ruin_pct,decision,status,notes
EXP-011,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,USDJPY,london,H1,{},2023-06-28,2026-08-11,119,42.0,0.8,8.05,32.0,61,39.3,0.7,-5094.49,6.02,,,,REJECT,FAILED,pdh_rejection
EXP-012,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,USDJPY,ny,H1,{},2023-06-28,2026-08-11,330,35.2,0.84,21.49,40.0,158,39.2,0.91,-3607.28,9.06,,,,REJECT,FAILED,pdh_breakout
EXP-013,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,USDJPY,ny,H1,{},2023-06-28,2026-08-11,130,42.3,0.96,7.04,50.0,51,39.2,0.85,-2113.27,5.53,,,,REJECT,FAILED,pdh_rejection
EXP-014,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,AUDUSD,london,H1,{},2023-06-28,2026-08-11,291,36.1,0.8,20.96,44.0,136,34.6,0.78,-8045.43,10.44,,,,REJECT,FAILED,pdh_breakout
EXP-015,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,AUDUSD,london,H1,{},2023-06-28,2026-08-11,111,45.9,1.05,4.57,56.0,55,56.4,1.39,4997.79,2.28,,,,REJECT,FAILED,pdh_rejection
EXP-016,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,AUDUSD,ny,H1,{},2023-06-28,2026-08-11,318,38.1,0.84,20.22,28.0,162,34.6,0.75,-10748.27,13.65,,,,REJECT,FAILED,pdh_breakout
EXP-017,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,AUDUSD,ny,H1,{},2023-06-28,2026-08-11,104,46.2,0.94,6.51,45.8,62,56.5,1.33,4639.61,4.81,,,,REJECT,FAILED,pdh_rejection
EXP-018,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,USDCAD,london,H1,{},2023-06-28,2026-08-11,262,35.5,0.78,20.16,32.0,137,38.0,0.86,-4994.08,10.34,,,,REJECT,FAILED,pdh_breakout
EXP-019,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,USDCAD,london,H1,{},2023-06-28,2026-08-11,123,39.0,0.75,10.0,45.8,70,44.3,0.86,-2617.76,5.26,,,,REJECT,FAILED,pdh_rejection
EXP-020,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,USDCAD,ny,H1,{},2023-06-28,2026-08-11,339,35.7,0.82,20.16,32.0,171,35.1,0.74,-11208.66,17.53,,,,REJECT,FAILED,pdh_breakout
EXP-021,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,USDCAD,ny,H1,{},2023-06-28,2026-08-11,147,37.4,0.7,13.05,32.0,80,42.5,0.68,-5899.33,8.39,,,,REJECT,FAILED,pdh_rejection
EXP-022,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,USDCHF,london,H1,{},2023-06-28,2026-08-11,281,37.0,0.81,19.71,40.0,143,39.2,0.9,-3795.31,8.79,,,,REJECT,FAILED,pdh_breakout
EXP-023,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,USDCHF,london,H1,{},2023-06-28,2026-08-11,125,46.4,0.83,10.37,40.0,77,35.1,0.55,-10926.69,11.78,,,,REJECT,FAILED,pdh_rejection
EXP-024,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,USDCHF,ny,H1,{},2023-06-28,2026-08-11,317,41.0,0.99,11.85,52.0,161,39.8,0.94,-2846.92,9.9,,,,REJECT,FAILED,pdh_breakout
EXP-025,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,USDCHF,ny,H1,{},2023-06-28,2026-08-11,137,32.8,0.51,19.93,16.0,67,37.3,0.56,-6986.63,9.56,,,,REJECT,FAILED,pdh_rejection
EXP-026,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,NZDUSD,london,H1,{},2023-06-28,2026-08-11,290,35.9,0.76,24.6,40.0,141,39.0,0.86,-4914.35,12.47,,,,REJECT,FAILED,pdh_breakout
EXP-027,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,NZDUSD,london,H1,{},2023-06-28,2026-08-11,106,44.3,0.89,9.59,40.0,59,49.2,1.05,790.54,4.65,,,,REJECT,FAILED,pdh_rejection
EXP-028,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,NZDUSD,ny,H1,{},2023-06-28,2026-08-11,329,35.3,0.72,29.34,28.0,154,35.7,0.77,-8131.27,15.24,,,,REJECT,FAILED,pdh_breakout
EXP-029,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,NZDUSD,ny,H1,{},2023-06-28,2026-08-11,110,51.8,1.2,5.96,56.0,51,54.9,1.48,5448.16,2.22,,,,REJECT,FAILED,pdh_rejection
EXP-030,2026-08-11,nzdjpy_validation_gate,"FROZEN SPEC RECORD -- see params_json for the complete, immutable specification under test",NZDJPY,server_hour_15,H1,"{""instrument"": ""NZDJPY"", ""proxy"": ""USDJPY"", ""timeframe"": ""H1"", ""check_hour_server"": 15, ""thr_atr"": 1.25, ""sl_atr_mult"": 1.5, ""tp_atr_mult"": 2.5, ""time_exit_server_hour"": 21, ""friday_close_server_hour"": 20, ""risk_pct_per_trade"": 0.005, ""spread_pips"": 2.2, ""slippage_pips"": 0, ""news_filter"": ""none (offline backtest)"", ""max_trades_per_day"": 1, ""sizing"": ""compounding balance x risk_pct / sl_pips"", ""lot_clamp_modeled"": false, ""entry_price"": ""signal-bar close, no delay"", ""exit_priority"": ""SL > TP > TimeExit(21) > FridayClose(Fri 20:00)"", ""dataset_months"": 36, ""is_months"": 24, ""oos_months"": 12, ""source_experiments"": ""phase10 EXP set + phase10b refinement (best cell)""}",,,0,0,0,0,0,0,0,0,0,0,,,,INVESTIGATE,VALIDATION,Frozen before any validation test in this script ran.
EXP-031,2026-08-11,nzdjpy_validation_gate,Full frozen validation gate result summary,NZDJPY,server_hour_15,H1,{},2023-06-28,2026-08-11,332,57.2,1.49,5.86,84.0,158,50.0,1.2,7731.07,7.05,4,75.0,0.03,KEEP,VALIDATED,7/9 scorecard checks passed; ref spec EXP-030
EXP-032,2026-08-11,nzdjpy_validation_gate,Human-judgment override of EXP-031s mechanical scorecard tally,NZDJPY,server_hour_15,H1,{},,,0,0,0,0,0,0,0,0,0,0,,,,INVESTIGATE,PROMISING BUT INSUFFICIENT,"OVERRIDES EXP-031 (mechanical 7/9 pass count said VALIDATED). Two failed checks (2x-spread cost stress -> OOS PF 0.93 losing; year concentration -> 73pct of profit from 2025, 2026 YTD PF 0.90 negative) are treated as disqualifying for a VALIDATED label despite passing IS/OOS/walk-forward/Monte-Carlo/permutation-test/parameter-plateau checks. Strong permutation-test evidence (beats 100pct of 1000 random-direction shuffles) means the signal is real, not proof it is durable. Recommendation: no strategy modification; re-run this identical frozen gate once more of 2026 has accumulated (~60-90 days) before any build decision. See reports/phase12_nzdjpy_validation_summary.md."
EXP-033,2026-08-11,nzdjpy_portfolio_analysis,Portfolio exposure + JPY factor analysis of the frozen NZDJPY candidate,NZDJPY,server_hour_15,H1,{},2023-06-28,2026-08-11,0,0,0,0,0,0,0,0,0,0,,,,INVESTIGATE,PROMISING BUT INSUFFICIENT / POTENTIAL DIVERSIFIER,"CADJPY replication: PARTIALLY REPLICATED. Factor R2=0.020 (POTENTIAL DIVERSIFICATION). Max corr vs existing book=0.09. MC with/without: pass 99% vs 98%, bust 1% vs 1%. See reports/phase13_nzdjpy_portfolio_report.md"
EXP-034,2026-08-11,nzdjpy_alignment_bugfix,"CRITICAL BUG: usdjpy proxy was positionally indexed, not timestamp-aligned -- 84% of bars mismatched from 2023-12-25 onward",NZDJPY,server_hour_15,H1,{},2023-06-28,2026-08-11,343,51.3,1.08,6.22,56.0,158,42.4,0.87,-4463.45,8.71,,,,REJECT,FAILED,"Corrected IS PF=1.08 (was 1.49 buggy), OOS PF=0.87 (was 1.20 buggy), permutation percentile=95.9% (was 100.0% buggy). CADJPY corrected: IS PF=0.77, OOS PF=0.89. Signal DOES NOT survive fix -- original finding was largely a data-alignment artifact. SUPERSEDES EXP-030/031/032/033."
EXP-035,2026-08-11,nzdjpy_validation_gate,"FROZEN SPEC RECORD -- see params_json for the complete, immutable specification under test",NZDJPY,server_hour_15,H1,"{""instrument"": ""NZDJPY"", ""proxy"": ""USDJPY"", ""timeframe"": ""H1"", ""check_hour_server"": 15, ""thr_atr"": 1.25, ""sl_atr_mult"": 1.5, ""tp_atr_mult"": 2.5, ""time_exit_server_hour"": 21, ""friday_close_server_hour"": 20, ""risk_pct_per_trade"": 0.005, ""spread_pips"": 2.2, ""slippage_pips"": 0, ""news_filter"": ""none (offline backtest)"", ""max_trades_per_day"": 1, ""sizing"": ""compounding balance x risk_pct / sl_pips"", ""lot_clamp_modeled"": false, ""entry_price"": ""signal-bar close, no delay"", ""exit_priority"": ""SL > TP > TimeExit(21) > FridayClose(Fri 20:00)"", ""dataset_months"": 36, ""is_months"": 24, ""oos_months"": 12, ""source_experiments"": ""phase10 EXP set + phase10b refinement (best cell)""}",,,0,0,0,0,0,0,0,0,0,0,,,,INVESTIGATE,VALIDATION,Frozen before any validation test in this script ran.
EXP-036,2026-08-11,nzdjpy_validation_gate,Full frozen validation gate result summary,NZDJPY,server_hour_15,H1,{},2023-06-28,2026-08-11,301,50.5,1.03,6.92,64.0,130,43.8,0.94,-1590.01,5.35,4,25.0,0.87,INVESTIGATE,FAILED,5/9 scorecard checks passed; ref spec EXP-035
EXP-037,2026-08-11,data_integrity_audit,Full-codebase audit for the positional cross-symbol/timeframe join bug class exposed by the NZDJPY/USDJPY investigation (EXP-034),ALL,,ALL,{},,,0,0,0,0,0,0,0,0,0,0,,,,NONE,COMPLETE,"Audited src/ (47 files), strategies/ (21 files), core/, src/agents/, mcp/ (60+ files total) line-by-line for positional joins across symbols/timeframes/sessions/tz. Only confirmed instance: phase10_jpy_london_ny.py (already fixed 77d90b6, never live). All other cross-series joins use merge_asof/reindex/searchsorted by timestamp -- verified by direct spot-check, not just agent claim. Added src/alignment_utils.py (safe_align/safe_asof_align/assert_valid_index) + tests/test_alignment_safety.py (7/7 passing regression tests incl. a direct repro of the NZDJPY bug shape). Final classification: RESEARCH PIPELINE TRUSTWORTHY. See reports/data_integrity_audit.md."
EXP-038,2026-08-11,discovery_volatility_regimes,"Session range-percentile persistence / compression predicts more compression, not expansion",ALL_9,ASIAN+LONDON+NY,H1/M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"Autocorr +0.08 to +0.61 (27/27 pair-session cells same sign); P(expand|compressed)=34% vs 50% baseline. EXPLORATORY, not validated. See reports/research_discovery_phase1.md #1."
EXP-039,2026-08-11,discovery_conditional_session,London range-percentile predicts same-day NY range-percentile (intraday volatility persistence),ALL_9,LONDON->NY,H1/M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"P(NY expand|London top-quartile)=62-75% vs 50% baseline, 9/9 pairs same sign. Also: Asia/London direction does NOT persist (45-52%, null). EXPLORATORY. See report #2, #4."
EXP-040,2026-08-11,discovery_regime_classification,Efficiency-ratio trend/mean-reversion regime predicts AMR-style reversion strength in Asian hours,ALL_9,ASIAN,H1/M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"NULL RESULT: reversion rate 44-51% across low/high-ER regimes and baseline, no consistent separation, 9/9 pairs. Answers standing AMR-regime question: NO for this regime definition. No AMR code changed. See report #6."
EXP-041,2026-08-11,discovery_post_move_distribution,Standardized (>=1.0 ATR) M15 moves show asymmetric continuation: down-moves revert more than up-moves continue,ALL_9,ALL,H1/M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"Down-move 60m continuation 45.0-47.3% (9/9 pairs, tight band); up-move 49-52% (no asymmetry). Possible drift confound not yet ruled out. EXPLORATORY. See report #3, #7."
EXP-042,2026-08-11,discovery_seasonality,Specific server hours show distinct return distributions,ALL_9,ALL,H1/M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"REJECTED as likely artifact: hour-0/1 spike (e.g. GBPJPY hour1=+7.08pips vs hour0=-0.91/hour2=+0.26) is an isolated single-bar spike, not a plateau -- fails neighbor-stability check, consistent with rollover/thin-liquidity bar-boundary artifact rather than genuine phenomenon. USDCAD hour-23 cliff same verdict. See report #8, #9."
EXP-043,2026-08-11,downmove_reversion_baseline,Descriptive reproduction + drift-confound + symmetry + threshold/horizon/session/vol/regime/pair/year/dow sensitivity for the M15 >=1.0 ATR down-move reversion finding,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"Reproduced: pooled down-continuation 46.26% vs up 50.01%. Drift-adjusted excess positive in 8/9 pairs (vs unconditional/session/vol-regime baselines). ONLY DOWN reverses (symmetry test). Threshold-smooth (max step 0.0046, no isolated spike). Horizon-flat 15min-4h (not a fading bounce). Session-concentrated: ASIAN 42.2% continuation vs OVERLAP 49.5% (7.3pp spread). Vol-regime: strongest in LOW-vol tercile (44.7%). Market regime (trend/range): no difference (null). Pair: 9/9 reverse, effect size 2.7-5.2pp. Year: 4/4 years below 50% (45.0-47.0%, no single-year concentration). DOW: modest spread, Monday strongest. Null bootstrap test (vol-regime-matched): 7/9 pairs clear 95th percentile. See reports/down_move_reversion_baseline.md."
EXP-044,2026-08-11,downmove_reversion_baseline,"Simplest possible baseline trade (fade >=1.0 ATR down-move, next-candle entry, 1.0xATR stop, 1R target, 4-bar time exit) plus transaction-cost stress",ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,REJECT,FAILED,"ALL_SESSIONS pooled: n=28644 PF=0.740 (loser). ASIAN_ONLY pooled: n=7884 PF=0.858 (loser), even at NORMAL spread before any stress. Cost stress (Asian-only) monotonically worse: 1.5x spread PF=0.690, 2x spread PF=0.570, +1bar delay PF=0.778. MFE~MAE nearly symmetric (1.31 vs 1.30 ATR) explains why a real probability tilt does not translate to 1:1 R:R profitability. No strategy parameters were searched/optimized. Does NOT modify GBPJPY/CADJPY/XAUUSD ARB, GBPJPY/EURJPY/AUDJPY/CADJPY AMR, or GBPUSD Monday Drift; demo account untouched."
EXP-045,2026-08-11,downmove_reversion_baseline,Final two-tier classification: phenomenon vs trading-strategy viability,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,GENUINE PHENOMENON / NOT PROMISING BASELINE,"Phenomenon classification: GENUINE (9/9 pairs, 4/4 years, threshold-smooth, horizon-persistent, drift-adjusted-robust in 8/9 pairs, null-test-robust in 7/9 pairs). Trading-strategy classification: NOT A PROMISING BASELINE (simplest fixed-1:1-RR implementation loses money before and after cost stress). Two verdicts are deliberately independent -- a real, well-corroborated probability shift is not automatically monetizable via the simplest possible trade structure. Recommended next step (pending user review, NOT executed): asymmetric R:R exploration as a fresh, separately-tracked experiment with its own IS/OOS discipline, or treat as risk-overlay input rather than standalone signal. See reports/down_move_reversion_baseline.md sections 16-20."
EXP-046,2026-08-11,downmove_reversion_mechanism,H1_broader_market_location,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"24 variables tested (see H2/H3/H4/H5/H6 rows below for others); H1: only dist_from_sess_high_atr clears 9/9 pair + both-year consistency (effect -0.074, reversal events closer to session high). Other H1 variables (recent-H1/H4-extreme distances) flip sign between 2025/2026 -- not trusted. pos_in_prevday_range mean corrupted by 19/37676 near-zero-range outliers; median shows null (~0.40 both groups)."
EXP-047,2026-08-11,downmove_reversion_mechanism,H2_prior_directional_pressure,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"NULL RESULT across all 8 sub-variables (1h/4h/8h return + persistence, prev-session/day return): effect sizes negligible (|d|<0.025), ~half flip sign between years. Prior directional pressure before the event does NOT distinguish reversal from continuation."
EXP-048,2026-08-11,downmove_reversion_mechanism,H3_volatility_transition,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"STRONGEST finding of the whole study. vol_pctile_change effect=-0.233 (largest found), vol_expansion_ratio=-0.118, realized_vol_post=-0.157, all 9/9 pairs + both years consistent. Direction is OPPOSITE the hypothesis: CONTINUATION events see MORE post-event volatility expansion, not reversal events -- i.e. moves reverting are NOT accompanied by follow-through volatility (liquidity-dislocation signature); moves continuing ARE (genuine repricing signature). atr_pctile_pre (starting regime) much weaker (-0.040) than the post-event change."
EXP-049,2026-08-11,downmove_reversion_mechanism,H4_H5_H6_session_range_vwap,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"H4: Asian reversal rate 57.8% vs 50-53% other sessions, but driven almost entirely by EARLY_ASIAN (hours 0-2, 67.3%) which OVERLAPS the hour-0/1 seasonality spike already REJECTED as a likely rollover/bar-boundary artifact in Discovery Phase 1 -- flagged as untrustworthy pending resolution, not presented as confirmed. H5: range break vs internal move = NULL (53.3% vs 54.2%, 0.9pp, no support). H6: dist_from_vwap_atr effect +0.063, 9/9 pairs + both years -- small but fully consistent, reversal events modestly closer to session VWAP."
EXP-050,2026-08-11,downmove_reversion_mechanism,Final ranking: which variables consistently distinguish reversal from continuation events,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,PARTIAL MECHANISM IDENTIFIED,"Only 4/24 variables clear effect-size + 9/9-pair + both-year bars: vol_pctile_change/vol_expansion_ratio/realized_vol_post (functionally one signal, largest effect -0.233), dist_from_vwap_atr (+0.063), dist_from_sess_high_atr (-0.074). All individually small-to-modest (Cohens d 0.06-0.23) -- partial, not dominant, mechanism. H2 (prior pressure) and H5 (range break) are clean nulls. Session-location finding (EARLY_ASIAN 67.3% reversal) explicitly flagged as possibly confounded with the already-rejected hour-0/1 data artifact -- NOT treated as confirmed. Recommended next step (not executed): resolve EARLY_ASIAN artifact question + genuine held-out confirmatory test of vol_pctile_change/dist_from_vwap_atr before any strategy work. No strategy built, no AMR/ARB/Monday-drift modified. See reports/down_move_reversion_mechanism.md."
EXP-051,2026-08-11,downmove_volatility_predictability,information_timing_audit_and_early_horizon,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"T0=event bar close, tiered features (0=pre-event,1=at-T0,2=first post candle,3=multi-bar future) enforced via a_prev=atr[i-1] denominators for Tier0/1 to prevent leakage. Earliest observable separation: first 15min post-event (Tier2, d=-0.045, 9/9 pairs, 4/4 years), growing smoothly to d=-0.141 at 60min -- not a delayed effect. Data limitation: no M1/M5 feed available (data_loader supports M15/H1/H4 only), 5-min horizon skipped not approximated."
EXP-052,2026-08-11,downmove_volatility_predictability,tier0_pre_event_predictors,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"6 pre-event variables (atr_pctile, realized_vol 2/4/8-bar, vol_slope, prev_candle_range) all show consistent sign (7-9/9 pairs, 3-4/4 years) but SMALL effect sizes (all |d|<0.05) -- real but weak T0-available signal."
EXP-053,2026-08-11,downmove_volatility_predictability,tier1_event_candle_structure,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"STRONGEST T0-available finding: candle shape (body_pct d=-0.107, close_location d=+0.101, upper_wick_pct d=+0.082, all 8-9/9 pairs + 4/4 years) -- reversal-outcome down-candles are proportionally smaller-bodied/more-wicked/close-higher-in-range than continuation-outcome down-candles (hammer-like vs decisive). Also reproduces phase16 dist_from_sess_high (-0.074) and dist_from_vwap (+0.069) as legitimately Tier1/T0-available. event_range_atr and move_atr themselves are null (no info in raw magnitude, only shape)."
EXP-054,2026-08-11,downmove_volatility_predictability,tier2_first_postevent_candle_and_artifact_sensitivity,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"Tier2: b1_range/b1_body modest (-0.05 to -0.08, consistent) but b1_direction (d=+0.694) and b1_close_loc (d=+0.668) explicitly EXCLUDED as near-tautological (mechanically follow from the 4-bar outcome definition, not new information). Part9 rollover-artifact check: excluding EARLY_ASIAN (hours 0-2), the core Tier3 volatility-transition mechanism survives essentially unchanged (d shifts <=0.02) -- mechanism itself is NOT the rollover artifact, unlike the raw session-location finding. Part10 null test on earliest (15min) separation: only 4-5/9 pairs individually clear 95th percentile (weaker than phase16 Tier3 test which cleared 7/9) -- expected, earliest signal is statistically thinner."
EXP-055,2026-08-11,downmove_volatility_predictability,"Final classification: can the phase16 volatility-transition mechanism be detected early enough (T0) to be predictive, not just explanatory",ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,POTENTIALLY PREDICTIVE,"Classification B: POTENTIALLY PREDICTIVE (not A-explanatory-only, not C-strong-candidate, not D-artifact). Tier0/1 (T0-available) candle-shape features show real, consistent (8-9/9 pairs, 4/4 years) but moderate (d=0.06-0.11) separation -- roughly half the size of the full Tier3 mechanism (d=0.14-0.23) which requires future bars and is NOT usable at entry. Core mechanism survives EARLY_ASIAN exclusion (Part9). No strategy built/optimized, no filter combination, no ARB/AMR/Monday-drift modification. Next step (not executed): genuine held-out confirmatory test of Tier1 candle-shape variables before any strategy consideration. See reports/down_move_volatility_predictability.md."
EXP-056,2026-08-11,downmove_candle_shape_baseline,frozen_definitions_and_baseline_results,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"shape_score = close_location - body_ratio, frozen median threshold=-0.6980 computed once on 37676 pooled events before any backtest. Baseline A (unfiltered, BUY): n=28644 PF=0.740 expectancy=-1.169pips. Baseline B (reversal-shape>=median, BUY): n=15891 PF=0.758 expectancy=-1.128pips. Baseline C (continuation-shape<median, SELL): n=16465 PF=0.618 expectancy=-1.843pips. Ordering B>A>C holds pooled -- shape signal points correct direction -- but B remains a clear net loser."
EXP-057,2026-08-11,downmove_candle_shape_baseline,crosscut_consistency_and_cost_stress,ALL_9,ALL,M15,{},,,0,0,0,0,0,0,0,0,0,0,,,,RESEARCH,EXPLORATORY,"Pair: 7/9 pairs show B PF > A PF (USDJPY, GBPJPY exceptions). Year: 3/4 years B>A (2024 near-tie, marginally worse). Session: B improvement concentrated in ASIAN hours (PF 0.939 vs A 0.844, closest either gets to breakeven) -- descriptive only, no filter built/applied. Cost stress: B edge over A persists at 1.5x/2x spread and 1-bar delay, but neither approaches breakeven at any tier."
